ball,bowler_batsman,result,commentary,length,line
23.4,"Lyon to Pujara, no run",â€¢,"good length at off stump, steps out and again and isn't to the pitch. Wears that on the leg",Good,Off Stump
23.3,"Lyon to Pujara, no run",â€¢,"good length and ripping in at off stump, backs away and hurriedly jabs into the off side",Good,Off Stump
23.2,"Lyon to Pujara, no run",â€¢,"good length and loopy outside off, steps out and bat-pads down the pitch",Good,Outside Off
23.1,"Lyon to Pujara, no run",â€¢,"length at leg stump, steps out and nudges to square leg",Good,Leg Stump
22.6,"Hazlewood to Rahane, no run",â€¢,length outside off and patted into the off side,Good,Outside Off
22.5,"Hazlewood to Rahane, no run",â€¢,"length on off stump, blocked on the front foot",Good,Off Stump
22.4,"Hazlewood to Rahane, no run",â€¢,"good bouncer. That is mean, rising from a length, not very short, but at the throat at an off stump line. Decent technique as he drops the hands and sways to let it go",Good,Off Stump
22.3,"Hazlewood to Rahane, no run",â€¢,"good length and just outside off, punched to point on the rise",Good,Outside Off
22.2,"Hazlewood to Rahane, no run",â€¢,"full and into off stump, blocked on the front foot",Full,Off Stump
22.1,"Hazlewood to Rahane, no run",â€¢,"good length and nipping away outside off, left alone",Good,Outside Off
21.6,"Lyon to Pujara, no run",â€¢,good length and turning into the pads. Gets forward and cops that on the leg,Good,Leg Stump
21.5,"Lyon to Pujara, no run",â€¢,"length outside off, to the pitch and turns it to midwicket",Good,Outside Off
21.4,"Lyon to Pujara, no run",â€¢,"length outside off, steps out and kicks",Good,Outside Off
